iter	Passed	Remaining
338	6323	3003
339	6334	2980
340	6345	2958
341	6366	2941
342	6389	2924
343	6404	2904
344	6427	2887
345	6446	2869
346	6467	2851
347	6489	2834
348	6504	2814
349	6519	2794
350	6530	2772
351	6547	2753
352	6570	2736
353	6581	2714
354	6603	2697
355	6616	2676
356	6638	2659
357	6649	2637
358	6663	2617
359	6677	2596
360	6695	2577
361	6705	2556
362	6720	2536
363	6742	2518
364	6760	2500
365	6770	2478
366	6789	2460
367	6799	2438
368	6817	2420
369	6839	2402
370	6855	2383
371	6871	2364
372	6889	2345
373	6908	2327
374	6923	2307
375	6934	2287
376	6956	2269
377	6978	2252
378	6997	2233
379	7011	2214
380	7021	2193
381	7043	2175
382	7054	2154
383	7067	2135
384	7089	2117
385	7100	2097
386	7121	2079
387	7136	2059
388	7147	2039
389	7165	2021
390	7180	2001
391	7190	1981
392	7212	1963
393	7230	1945
394	7248	1926
395	7270	1909
396	7287	1890
397	7304	1872
398	7325	1854
399	7347	1836
400	7358	1816
401	7369	1796
402	7383	1777
403	7400	1758
404	7422	1741
405	7444	1723
406	7458	1704
407	7476	1685
408	7496	1667
409	7506	1647
410	7522	1628
411	7532	1608
412	7547	1589
413	7565	1571
414	7587	1554
415	7608	1536
416	7623	1517
417	7645	1499
418	7663	1481
419	7673	1461
420	7686	1442
421	7702	1423
422	7712	1403
423	7727	1385
424	7749	1367
425	7771	1349
426	7786	1331
427	7804	1312
428	7822	1294
429	7844	1276
430	7866	1259
431	7889	1241
432	7911	1224
433	7923	1204
434	7947	1187
435	7962	1168
436	7981	1150
437	8002	1132
438	8012	1113
439	8031	1095
440	8041	1075
441	8055	1056
442	8065	1037
443	8083	1019
444	8101	1001
445	8123	983
446	8138	964
447	8149	945
448	8171	928
449	8185	909
450	8203	891
451	8218	872
452	8236	854
453	8246	835
454	8257	816
455	8268	797
456	8278	778
457	8289	760
458	8304	741
459	8322	723
460	8332	704
461	8353	687
462	8364	668
463	8382	650
464	8393	631
465	8404	613
466	8425	595
467	8447	577
468	8465	559
469	8476	541
470	8487	522
471	8501	504
472	8512	485
473	8533	468
474	8544	449
475	8557	431
476	8579	413
477	8597	395
478	8618	377
479	8639	359
480	8650	341
481	8660	323
482	8675	305
483	8685	287
484	8699	269
485	8714	251
486	8732	233
487	8751	215
488	8772	197
489	8787	179
490	8802	161
491	8821	143
492	8839	125
493	8857	107
494	8868	89
495	8879	71
496	8893	53
497	8911	35
498	8929	17
499	8954	0
