iter	Logloss
322	0.4074229008
323	0.4072980982
324	0.4072105203
325	0.4071957496
326	0.4071559664
327	0.4071169369
328	0.4070392958
329	0.4070226901
330	0.4069909914
331	0.4069403115
332	0.4069310529
333	0.4068931054
334	0.406887897
335	0.4068790078
336	0.4067756171
337	0.4067310286
338	0.4066644404
339	0.4066484757
340	0.4066328279
341	0.4064998645
342	0.4064065323
343	0.4063840034
344	0.4063097802
345	0.4062471195
346	0.4060688342
347	0.4058954351
348	0.4058679547
349	0.4058410758
350	0.4058339341
351	0.4058131396
352	0.4056755853
353	0.4056563887
354	0.4055335509
355	0.4055262868
356	0.4054605498
357	0.4054540352
358	0.4054392601
359	0.405407174
360	0.4053787791
361	0.4053644008
362	0.4053399167
363	0.4052699223
364	0.4051805308
365	0.405177398
366	0.4051231617
367	0.4051175457
368	0.4050880283
369	0.4050533723
370	0.405034134
371	0.4049910953
372	0.4049603047
373	0.4049371746
374	0.4048954599
375	0.4048921076
376	0.4047895007
377	0.4046489948
378	0.4045265553
379	0.4045167123
380	0.404509871
381	0.4043920374
382	0.4043795505
383	0.4043679732
384	0.4041886992
385	0.4041756335
386	0.4040913226
387	0.4040663438
388	0.4040614317
389	0.4039884329
390	0.4039707501
391	0.4039659239
392	0.4038744773
393	0.4038329727
394	0.4037830347
395	0.403693464
396	0.4036656494
397	0.4036593012
398	0.4036391523
399	0.4035611203
400	0.4035549629
401	0.4035425377
402	0.4035317247
403	0.4034481198
404	0.4033481184
405	0.4032090495
406	0.4031842579
407	0.4031230427
408	0.4030884596
409	0.4030765879
410	0.4030590329
411	0.4030550986
412	0.4030310448
413	0.4030073094
414	0.4029538075
415	0.4028548378
416	0.4028367807
417	0.402756494
418	0.4027199568
419	0.402716474
420	0.4027130709
421	0.4026971988
422	0.4026970714
423	0.4026814845
424	0.4026027333
425	0.4024864033
426	0.4024710147
427	0.4024528373
428	0.402436253
429	0.4023358732
430	0.4022843257
431	0.4019801045
432	0.401948248
433	0.4019464536
434	0.4018186521
435	0.4017955381
436	0.4017413557
437	0.4016623968
438	0.4016592982
439	0.4016467283
440	0.4016418011
441	0.4016288529
442	0.4016258736
443	0.4016039535
444	0.4015578515
445	0.4014563278
446	0.4014422337
447	0.40143932
448	0.4011029692
449	0.4010849277
450	0.4010456225
451	0.4010248725
452	0.40101269
453	0.4010125747
454	0.4010098449
455	0.4009941167
456	0.4009839798
457	0.4009740441
458	0.4009600195
459	0.4009162546
460	0.4009135101
461	0.4008839866
462	0.4008813435
463	0.4008556007
464	0.4008462176
465	0.4008436581
466	0.4007085018
467	0.4006680433
468	0.4006047479
469	0.4006023398
470	0.4005999805
471	0.4005809494
472	0.4005786853
473	0.4005511325
474	0.4005462018
475	0.4005440412
476	0.4001638938
477	0.4001558563
478	0.4000658259
479	0.3998896838
480	0.3998884848
481	0.3998864701
482	0.3998556492
483	0.3998544919
484	0.3998468599
485	0.3998290142
486	0.3997360794
487	0.3996451535
488	0.3996019984
489	0.3995887613
490	0.3995770206
491	0.3995640516
492	0.3995138044
493	0.3994849532
494	0.3994806871
495	0.3994788074
496	0.3994714971
497	0.399383078
498	0.3993589503
499	0.3993179866
